object_id,fire_date,latitude,longitude,avg_temperature_2m_max,avg_temperature_2m_min,avg_temperature_2m_mean,avg_precipitation_sum,avg_snowfall_sum,avg_wind_speed_10m_max,avg_wind_gusts_10m_max,avg_relative_humidity_2m,avg_pressure_msl,avg_surface_pressure,avg_soil_temperature_0_to_7cm,avg_soil_moisture_0_to_7cm,Unnamed: 0
4451657,2006-01-10 22:30:00,31.0919437408447,-89.0791702270508,21.75,14.2,17.25,0.2,0.0,16.85,37.95,79.10416666666667,1022.7104166666668,1013.8583333333332,15.995833333333335,0.3716041666666667,1771.0
4451658,2006-01-14 00:30:00,31.0861110687256,-89.1327743530273,15.45,9.2,12.35,8.95,0.0,23.0,50.95,61.4375,1017.2583333333332,1009.6229166666668,13.439583333333331,0.4061458333333334,1772.0
4451660,2006-01-25 18:47:00,31.0877780914307,-89.1188888549805,16.55,8.35,11.9,0.0,0.0,14.6,36.35,64.22916666666667,1023.9562499999998,1015.04375,13.464583333333332,0.4745625,1773.0
4451662,2006-01-28 20:50:00,31.0891666412354,-89.0097198486328,18.85,8.65,12.6,0.0,0.0,19.55,45.35,66.375,1028.2166666666665,1019.0416666666666,12.7375,0.392125,1774.0
4451663,2006-01-28 22:47:00,31.1061115264893,-89.1619415283203,18.9,8.65,12.75,0.0,0.0,20.25,46.1,67.14583333333333,1028.0291666666665,1020.20625,12.535416666666668,0.4375833333333334,1775.0
4451668,2006-02-17 02:30:00,31.5172214508057,-88.8163909912109,20.65,14.4,16.65,0.4,0.0,20.0,45.55,82.72916666666667,1022.0208333333334,1011.9645833333334,15.439583333333331,0.4309791666666666,1776.0
4451669,2006-03-05 17:00:00,31.2688884735107,-91.1627807617188,21.15,7.550000000000001,13.25,0.0,0.0,12.3,28.3,53.458333333333336,1024.4083333333335,1011.0604166666666,14.1,0.3182708333333333,1777.0
4451679,2006-02-24 22:59:00,30.5427780151367,-88.8716659545898,18.2,13.6,15.9,0.35,0.0,17.8,39.95,68.33333333333333,1020.18125,1017.88125,16.202083333333334,0.3664166666666666,1778.0
4451680,2006-03-03 19:36:00,30.8286113739014,-88.9191665649414,24.8,14.55,18.9,0.0,0.0,14.6,33.85,69.04166666666667,1017.1520833333334,1010.1604166666666,18.23958333333333,0.228125,1779.0
4451684,2006-03-06 18:02:00,31.0872230529785,-88.9391632080078,23.5,9.75,15.0,0.0,0.0,12.5,28.450000000000003,61.10416666666666,1022.9416666666666,1013.7791666666668,15.022916666666667,0.2029583333333333,1780.0
4451687,2006-03-08 20:29:00,31.0849990844727,-89.3266677856445,22.85,10.25,15.9,0.0,0.0,17.2,41.2,61.85416666666666,1020.1895833333334,1009.8770833333332,16.129166666666666,0.3852291666666667,1781.0
4451688,2006-03-09 18:33:00,30.6080551147461,-89.1080551147461,22.85,15.1,18.25,0.1,0.0,28.3,61.6,72.27083333333333,1014.6354166666666,1011.425,17.8625,0.3776458333333334,1782.0
4451693,2006-03-11 21:00:00,30.5919437408447,-89.107780456543,24.6,19.3,21.25,2.1,0.0,27.0,60.3,89.41666666666667,1012.7416666666668,1009.4458333333332,20.42083333333333,0.4102916666666667,1783.0
4451695,2006-03-12 21:17:00,31.0141658782959,-88.8047256469727,26.05,19.65,22.05,1.0,0.0,23.0,53.45,84.70833333333333,1016.8395833333332,1011.3354166666668,21.18125,0.2336041666666667,1784.0
4451701,2006-03-01 22:40:00,31.0383338928223,-89.2399978637695,22.25,9.1,14.2,0.0,0.0,15.8,38.85,75.75,1019.6958333333336,1009.93125,13.745833333333332,0.4316041666666666,1785.0
4451709,2006-03-24 19:05:00,30.5380554199219,-88.9216690063477,16.55,7.1,11.5,0.55,0.0,19.1,41.8,52.0625,1022.1104166666664,1019.8958333333334,14.085416666666667,0.3121041666666667,1786.0
4451732,2006-04-07 18:08:00,30.6825008392334,-89.4152755737305,27.5,17.9,22.0,0.0,0.0,22.450000000000003,54.55,70.83333333333333,1011.7791666666666,1006.1854166666666,21.945833333333336,0.2988125,1787.0
4451738,2006-04-18 17:50:00,30.8552780151367,-88.9727783203125,33.95,20.6,25.950000000000003,0.0,0.0,15.95,42.8,65.08333333333333,1010.09375,1004.68125,25.56041666666667,0.1811874999999999,1788.0
4451747,2006-03-27 22:45:00,34.6716651916504,-89.3816680908203,14.75,1.0,7.0,0.05,0.0,14.3,37.45,59.75,1024.84375,1008.25625,7.58125,0.4377916666666666,1789.0
4451752,2006-04-12 18:45:00,34.6300010681152,-89.3733367919922,24.85,14.0,18.5,0.0,0.0,16.9,40.5,62.54166666666666,1021.8166666666666,1005.09375,17.520833333333332,0.4330208333333332,1790.0
4451763,2006-05-05 18:00:00,30.5402774810791,-88.8586120605469,27.450000000000003,19.9,23.0,2.25,0.0,14.05,31.85,81.52083333333333,1015.4958333333334,1013.1625,23.02916666666667,0.3690625,1791.0
4451765,2006-05-13 19:50:00,30.9902782440186,-89.2680587768555,26.65,13.85,19.700000000000003,0.0,0.0,15.2,36.7,55.125,1013.5583333333334,1003.2166666666668,20.691666666666663,0.433375,1792.0
4451775,2006-05-26 18:10:00,31.1222229003906,-89.0761108398438,33.7,21.45,27.15,0.0,0.0,13.0,33.3,60.8125,1014.5020833333334,1004.6333333333336,27.41875,0.2472291666666667,1793.0
4451776,2006-05-28 19:40:00,30.78444480896,-88.8144454956055,33.65,22.15,27.0,0.4499999999999999,0.0,13.9,36.0,70.97916666666667,1015.3875,1013.3083333333334,27.414583333333336,0.0766041666666666,1794.0
4451782,2006-06-08 14:30:00,32.3116683959961,-89.5377807617188,32.7,19.55,26.0,0.0,0.0,10.05,25.950000000000003,49.47916666666666,1013.88125,995.1104166666668,26.48333333333333,0.2417916666666666,1795.0
4451785,2006-06-09 01:00:00,31.2977771759033,-91.1358337402344,34.650000000000006,22.25,28.45,0.0,0.0,10.65,25.2,52.72916666666666,1013.8416666666668,1004.7062499999998,28.679166666666664,0.1540208333333333,1796.0
4451789,2006-06-03 22:24:00,30.5394439697266,-88.9661102294922,32.099999999999994,23.0,27.1,2.15,0.0,12.85,30.95,66.66666666666667,1013.19375,1010.7854166666668,27.70625,0.2208541666666666,1797.0
4451796,2006-06-10 15:11:00,30.4197216033936,-89.4969482421875,34.0,24.0,28.85,0.0,0.0,13.05,32.4,64.10416666666667,1012.1479166666668,1011.4479166666666,28.98125,0.1678541666666666,1798.0
